# retail_sha256=5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3
# Pure six-byte bodies in exact FPO records or contiguous retail IAT-stub bands.
rva	size	iat_rva	import	evidence
0x16bf54	0x6	0x232a88	KERNEL32.dll!LoadResource	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf5a	0x6	0x232a8c	KERNEL32.dll!FindResourceA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf60	0x6	0x232a90	KERNEL32.dll!LockResource	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf66	0x6	0x232a98	KERNEL32.dll!GetFileAttributesA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf6c	0x6	0x232a9c	KERNEL32.dll!GetFileTime	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf72	0x6	0x232aa0	KERNEL32.dll!LocalFileTimeToFileTime	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf78	0x6	0x232aa4	KERNEL32.dll!SystemTimeToFileTime	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf7e	0x6	0x232aa8	KERNEL32.dll!SetFileTime	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf84	0x6	0x232aac	KERNEL32.dll!SetFileAttributesA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf8a	0x6	0x232ab0	KERNEL32.dll!LocalAlloc	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf90	0x6	0x232ab4	KERNEL32.dll!TlsAlloc	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf96	0x6	0x232ab8	KERNEL32.dll!GlobalHandle	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bf9c	0x6	0x232abc	KERNEL32.dll!TlsFree	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bfa2	0x6	0x232ac0	KERNEL32.dll!GlobalReAlloc	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bfa8	0x6	0x232ac4	KERNEL32.dll!TlsSetValue	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bfae	0x6	0x232ac8	KERNEL32.dll!LocalReAlloc	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bfb4	0x6	0x232acc	KERNEL32.dll!TlsGetValue	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bfba	0x6	0x232ad0	KERNEL32.dll!GetProcessVersion	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bfc0	0x6	0x232ad4	KERNEL32.dll!GlobalFlags	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bfc6	0x6	0x232ad8	KERNEL32.dll!SetErrorMode	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bfcc	0x6	0x232adc	KERNEL32.dll!WritePrivateProfileStringA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bfd2	0x6	0x232ae0	KERNEL32.dll!SizeofResource	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bfd8	0x6	0x232ae4	KERNEL32.dll!FileTimeToSystemTime	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bfde	0x6	0x232ae8	KERNEL32.dll!FileTimeToLocalFileTime	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bfe4	0x6	0x232aec	KERNEL32.dll!GetTempFileNameA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bfea	0x6	0x232af0	KERNEL32.dll!GetDiskFreeSpaceA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bff0	0x6	0x232af4	KERNEL32.dll!RtlUnwind	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bff6	0x6	0x232af8	KERNEL32.dll!HeapAlloc	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16bffc	0x6	0x232afc	KERNEL32.dll!HeapFree	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c002	0x6	0x232b00	KERNEL32.dll!RaiseException	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c008	0x6	0x232b04	KERNEL32.dll!GetModuleHandleA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c00e	0x6	0x232b08	KERNEL32.dll!GetStartupInfoA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c014	0x6	0x232b0c	KERNEL32.dll!GetCommandLineA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c01a	0x6	0x232b10	KERNEL32.dll!ExitProcess	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c020	0x6	0x232b14	KERNEL32.dll!HeapReAlloc	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c026	0x6	0x232b18	KERNEL32.dll!CreateThread	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c02c	0x6	0x232b1c	KERNEL32.dll!ExitThread	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c032	0x6	0x232b20	KERNEL32.dll!GetTimeZoneInformation	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c038	0x6	0x232d18	KERNEL32.dll!GetSystemTime	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c03e	0x6	0x232d14	KERNEL32.dll!GetLocalTime	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c044	0x6	0x232b2c	KERNEL32.dll!TerminateProcess	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c04a	0x6	0x232d1c	KERNEL32.dll!SetStdHandle	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c050	0x6	0x232b34	KERNEL32.dll!GetFileType	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c056	0x6	0x232b38	KERNEL32.dll!HeapSize	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c05c	0x6	0x232b3c	KERNEL32.dll!GetCPInfo	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c062	0x6	0x232b40	KERNEL32.dll!GetACP	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c068	0x6	0x232b44	KERNEL32.dll!GetOEMCP	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c06e	0x6	0x232b48	KERNEL32.dll!FatalAppExitA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c074	0x6	0x232b4c	KERNEL32.dll!HeapDestroy	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c07a	0x6	0x232b50	KERNEL32.dll!HeapCreate	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c080	0x6	0x232b54	KERNEL32.dll!VirtualFree	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c086	0x6	0x232b58	KERNEL32.dll!VirtualAlloc	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c08c	0x6	0x232b5c	KERNEL32.dll!LCMapStringA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c092	0x6	0x232b60	KERNEL32.dll!LCMapStringW	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c098	0x6	0x232b64	KERNEL32.dll!SetUnhandledExceptionFilter	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c09e	0x6	0x232b68	KERNEL32.dll!SetConsoleCtrlHandler	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c0a4	0x6	0x232b6c	KERNEL32.dll!GetStdHandle	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c0aa	0x6	0x232b70	KERNEL32.dll!UnhandledExceptionFilter	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c0b0	0x6	0x232b74	KERNEL32.dll!FreeEnvironmentStringsA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c0b6	0x6	0x232b78	KERNEL32.dll!FreeEnvironmentStringsW	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c0bc	0x6	0x232b7c	KERNEL32.dll!GetEnvironmentStrings	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c0c2	0x6	0x232b80	KERNEL32.dll!GetEnvironmentStringsW	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c0c8	0x6	0x232b84	KERNEL32.dll!SetHandleCount	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c0ce	0x6	0x232b88	KERNEL32.dll!GetStringTypeA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c0d4	0x6	0x232b8c	KERNEL32.dll!GetStringTypeW	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c0da	0x6	0x232b90	KERNEL32.dll!GetDriveTypeA	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c0e0	0x6	0x232b94	KERNEL32.dll!IsBadReadPtr	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c0e6	0x6	0x232b98	KERNEL32.dll!IsBadWritePtr	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c0ec	0x6	0x232b9c	KERNEL32.dll!IsBadCodePtr	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c0f2	0x6	0x232ba0	KERNEL32.dll!IsValidLocale	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
0x16c0f8	0x6	0x232ba4	KERNEL32.dll!IsValidCodePage	contiguous ff25 <IAT> stub band (435 entries, 0x16bd50..0x16c782)
